SEQ_NFE;CHAVE_NOTA;COD_UF_EMIT;COD_UF_DEST;TIP_FIN_NFE;SEQ_PROD;COD_CEST;COD_CST;COD_NCM;COD_CFOP;TIP_OPERACAO;EMIT_COD_CNAE;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_PRINC;DEST_IE;DEST_SITUACAO;DEST_IND_SUBLIMITE;DEST_IND_SN;TIPO_IMPOSTO
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427964;2002000;0;33059000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427965;2002600;0;33071000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427966;2806100;0;73199000;6102;;;2;S;4772500;240132092;2;0;S;ANT
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427967;2001700;0;33051000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427968;2001700;0;33051000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427969;2002600;0;33071000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427970;2002000;0;33059000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427971;2002000;0;33059000;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427972;2006400;0;82122010;6102;;;2;S;4772500;240132092;2;0;S;ST
438957845;26250637562896000102550000000022571299623566;PE;AL;1;2944427973;2002600;0;33071000;6102;;;2;S;4772500;240132092;2;0;S;ST
438156358;35250658942107000139550010000145201678573706;SP;AL;1;2940220671;;40;64021900;6102;;;3;N;;;;0;N;DIFAL
438156358;35250658942107000139550010000145201678573706;SP;AL;1;2940220672;;40;64021900;6102;;;3;N;;;;0;N;DIFAL
437633410;33250602810365000107550020001282641942114501;RJ;AL;1;2937193162;1900500;60;42029200;6108;;;3;N;;;;0;N;DIFAL
437933314;35250662347471000128550030000961201053463023;SP;AL;1;2938913830;;0;95059000;6102;;;3;N;;;;0;S;DIFAL
438520845;35250644167636000106550150000106361317195234;SP;AL;1;2942466313;2806100;0;63039200;6108;;;3;N;;;;0;N;DIFAL
438598727;35250633224169000184550010000104631298734392;SP;AL;1;2942739338;;0;60064100;6108;;;3;N;;;;0;N;DIFAL
438726015;29250619579823000141550010000032041132516487;BA;AL;1;2943142207;2805900;;62044300;6401;;;1;N;;;;0;N;DIFAL
