;SEQ_NFE;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
7072;437854598;PR;1;2938578457;0;0;87141000;6102;45412960;3;N;AUSENTE;0;DIFAL;1;0;45;454;4541;AUSENTE;AUSENTE;AUSENTE;87;8714;871410;6;102;0;AUSENTE;AUSENTE
7073;437854598;PR;1;2938578458;0;0;87141000;6102;45412960;3;N;AUSENTE;0;DIFAL;1;0;45;454;4541;AUSENTE;AUSENTE;AUSENTE;87;8714;871410;6;102;0;AUSENTE;AUSENTE
7074;437750078;SP;1;2937887037;0;0;94049000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;94;9404;940490;6;108;0;AUSENTE;AUSENTE
7075;437750078;SP;1;2937887038;0;0;94049000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;94;9404;940490;6;108;0;AUSENTE;AUSENTE
7076;437880357;SP;1;2938641941;0;90;42029200;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;42;4202;420292;6;102;0;AUSENTE;AUSENTE
7077;437157791;SP;1;2935185180;0;0;64029990;6107;AUSENTE;1;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;64;6402;640299;6;107;0;AUSENTE;AUSENTE
7078;437945720;SP;1;2938973962;2806100;0;94036000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;94;9403;940360;6;102;1;28;28061
7079;437657025;SC;1;2937376029;2806300;0;29171110;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;29;2917;291711;6;108;1;28;28063
7080;438055581;SP;1;2939697606;0;0;61044900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610449;6;108;0;AUSENTE;AUSENTE
7081;438055581;SP;1;2939697607;0;0;61044900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610449;6;108;0;AUSENTE;AUSENTE
7082;437637679;SP;1;2937245055;0;0;73239900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;73;7323;732399;6;108;0;AUSENTE;AUSENTE
7083;436318129;PR;1;2930851232;0;0;65061000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;65;6506;650610;6;108;0;AUSENTE;AUSENTE
7084;438102446;SP;1;2939914804;0;0;64039990;6107;15319010;3;N;AUSENTE;0;DIFAL;0;0;15;153;1531;AUSENTE;AUSENTE;AUSENTE;64;6403;640399;6;107;0;AUSENTE;AUSENTE
7085;438148876;SP;1;2940168568;2806200;0;21069030;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;108;1;28;28062
7086;437899369;SP;1;2938739369;0;0;64041900;6108;47822010;3;N;AUSENTE;0;DIFAL;0;0;47;478;4782;AUSENTE;AUSENTE;AUSENTE;64;6404;640419;6;108;0;AUSENTE;AUSENTE
7087;438362098;SP;1;2941422098;2806300;0;68071000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;68;6807;680710;6;108;1;28;28063
7088;438539977;SP;1;2942592987;0;0;34011190;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;34;3401;340111;6;102;0;AUSENTE;AUSENTE
7089;437816944;SP;1;2938331664;0;0;83022000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;83;8302;830220;6;108;0;AUSENTE;AUSENTE
7090;437816944;SP;1;2938331665;0;0;83022000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;83;8302;830220;6;108;0;AUSENTE;AUSENTE
7091;437671439;SP;1;2937464471;0;40;61046200;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610462;6;102;0;AUSENTE;AUSENTE
7092;438262886;SP;1;2940921002;0;0;48195000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;48;4819;481950;6;108;0;AUSENTE;AUSENTE
7093;437986945;PR;1;2939189556;0;0;84818011;6101;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8481;848180;6;101;0;AUSENTE;AUSENTE
7094;437939795;SP;1;2938949380;0;0;42021100;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;42;4202;420211;6;107;0;AUSENTE;AUSENTE
7095;437857647;MG;1;2938513794;0;0;52115100;6108;47555010;3;N;AUSENTE;0;DIFAL;0;0;47;475;4755;AUSENTE;AUSENTE;AUSENTE;52;5211;521151;6;108;0;AUSENTE;AUSENTE
7096;437809329;SP;1;2938296081;2805900;0;64022000;6108;47822010;3;N;AUSENTE;0;DIFAL;1;0;47;478;4782;AUSENTE;AUSENTE;AUSENTE;64;6402;640220;6;108;1;28;28059
7097;438167891;SP;1;2940283834;0;0;95030099;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;95;9503;950300;6;108;0;AUSENTE;AUSENTE
7098;438329204;SP;1;2941230374;0;0;63026000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630260;6;102;0;AUSENTE;AUSENTE
7099;438049294;MG;1;2939661393;2801600;0;33072010;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3307;330720;6;102;1;28;28016
7100;437753902;SP;1;2937898842;0;0;61069000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6106;610690;6;102;0;AUSENTE;AUSENTE
7101;437748684;SP;1;2937877898;0;0;61046300;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610463;6;108;0;AUSENTE;AUSENTE
7102;437748684;SP;1;2937877899;0;0;61046300;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610463;6;108;0;AUSENTE;AUSENTE
7103;437748684;SP;1;2937877900;0;0;61046300;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610463;6;108;0;AUSENTE;AUSENTE
7104;437748684;SP;1;2937877901;0;0;61046300;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610463;6;108;0;AUSENTE;AUSENTE
7105;438206854;SP;1;2940526593;0;0;70109022;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;70;7010;701090;6;108;0;AUSENTE;AUSENTE
7106;437634115;SC;1;2937248980;0;0;84813000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8481;848130;6;108;0;AUSENTE;AUSENTE
7107;437724401;SP;1;2937733243;0;0;39249000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3924;392490;6;102;0;AUSENTE;AUSENTE
