;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
6657;SP;1;2935765117;0;0;39269040;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392690;6;107;0;AUSENTE;AUSENTE
6658;SP;1;2935501298;2003401;60;34011190;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;34;3401;340111;6;108;1;20;20034
6659;MG;1;2934375432;0;0;73061900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;73;7306;730619;6;108;0;AUSENTE;AUSENTE
6660;SC;1;2932524695;0;0;21069030;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;108;0;AUSENTE;AUSENTE
6661;MG;1;2934184855;2006300;0;39249000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3924;392490;6;108;1;20;20063
6662;MG;1;2934184856;2806400;0;96032900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;96;9603;960329;6;108;1;28;28064
6663;MG;1;2934185771;0;0;61032990;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6103;610329;6;107;0;AUSENTE;AUSENTE
6664;SP;1;2933348898;0;0;21069030;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;108;0;AUSENTE;AUSENTE
6665;SP;1;2935995800;0;0;62044400;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6204;620444;6;107;0;AUSENTE;AUSENTE
6666;SP;1;2930579926;0;0;33072010;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3307;330720;6;108;0;AUSENTE;AUSENTE
6667;SP;1;2930579927;0;0;33072010;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3307;330720;6;108;0;AUSENTE;AUSENTE
6668;SP;1;2928809353;0;0;48084000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;48;4808;480840;6;102;0;AUSENTE;AUSENTE
6669;SP;1;2935774365;0;0;85167920;6102;AUSENTE;3;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8516;851679;6;102;0;AUSENTE;AUSENTE
6670;ES;1;2935433829;0;0;76151000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;76;7615;761510;6;108;0;AUSENTE;AUSENTE
6671;SP;1;2935413945;0;0;39042200;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3904;390422;6;107;0;AUSENTE;AUSENTE
6672;SP;1;2934117185;0;0;33074900;6108;46494080;3;N;AUSENTE;0;DIFAL;0;0;46;464;4649;AUSENTE;AUSENTE;AUSENTE;33;3307;330749;6;108;0;AUSENTE;AUSENTE
6673;RS;1;2933691933;107500;0;87082914;6106;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;87;8708;870829;6;106;1;10;10750
6674;SP;1;2935371974;0;0;73241000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;73;7324;732410;6;102;0;AUSENTE;AUSENTE
6675;SP;1;2935442540;2806100;0;63023200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630232;6;108;1;28;28061
6676;SP;1;2935479911;0;0;84716090;6106;47130020;3;N;AUSENTE;0;DIFAL;0;0;47;471;4713;AUSENTE;AUSENTE;AUSENTE;84;8471;847160;6;106;0;AUSENTE;AUSENTE
6677;SP;1;2932423698;0;0;39249000;6108;47296990;3;N;AUSENTE;0;DIFAL;1;0;47;472;4729;AUSENTE;AUSENTE;AUSENTE;39;3924;392490;6;108;0;AUSENTE;AUSENTE
6678;SP;1;2931627968;0;0;64059000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;64;6405;640590;6;108;0;AUSENTE;AUSENTE
6679;MG;1;2936120863;0;0;64039990;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;64;6403;640399;6;108;0;AUSENTE;AUSENTE
6680;MG;1;2936120864;0;0;64041100;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;64;6404;640411;6;108;0;AUSENTE;AUSENTE
6681;SP;1;2939126306;2107900;60;95045000;6102;AUSENTE;2;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;95;9504;950450;6;102;1;21;21079
6682;SC;1;2930267214;1001300;0;39222000;6108;47440990;3;N;AUSENTE;0;DIFAL;0;0;47;474;4744;AUSENTE;AUSENTE;AUSENTE;39;3922;392220;6;108;1;10;10013
6683;SP;1;2932797440;0;20;84137010;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8413;841370;6;102;0;AUSENTE;AUSENTE
6684;SP;1;2933872000;2805900;90;62043300;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6204;620433;6;107;1;28;28059
6685;SP;1;2934169907;0;0;84529099;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8452;845290;6;102;0;AUSENTE;AUSENTE
6686;SP;1;2934169908;0;0;84529099;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8452;845290;6;102;0;AUSENTE;AUSENTE
6687;SP;1;2934169909;0;0;84529099;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8452;845290;6;102;0;AUSENTE;AUSENTE
6688;SP;1;2933850383;0;0;70134900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;70;7013;701349;6;108;0;AUSENTE;AUSENTE
6689;SP;1;2934166349;0;0;62121000;6108;AUSENTE;2;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6212;621210;6;108;0;AUSENTE;AUSENTE
6690;SP;1;2935435660;0;0;85098090;6102;AUSENTE;4;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8509;850980;6;102;0;AUSENTE;AUSENTE
6691;SP;1;2934310503;0;0;94032010;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;94;9403;940320;6;108;0;AUSENTE;AUSENTE
6692;SP;1;2935474014;0;0;62092000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6209;620920;6;108;0;AUSENTE;AUSENTE
6693;SP;1;2935474015;2004801;0;62092000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;62;6209;620920;6;108;1;20;20048
6694;SP;1;2936183428;0;0;85444200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8544;854442;6;108;0;AUSENTE;AUSENTE
6695;SP;1;2935885767;0;0;63022200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630222;6;108;0;AUSENTE;AUSENTE
6696;SP;1;2935885768;0;0;63022200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630222;6;108;0;AUSENTE;AUSENTE
6697;SP;1;2935885769;0;0;63022200;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630222;6;108;0;AUSENTE;AUSENTE
6698;SP;1;2934455109;2805900;0;61062000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6106;610620;6;108;1;28;28059
6699;MG;1;2938320041;2805700;0;67029000;6107;AUSENTE;1;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;67;6702;670290;6;107;1;28;28057
6700;MG;1;2936631645;2806100;0;56031120;6108;AUSENTE;1;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;56;5603;560311;6;108;1;28;28061
6701;SP;1;2933882264;0;0;61046900;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610469;6;102;0;AUSENTE;AUSENTE
6702;SP;1;2930699969;0;0;61046900;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610469;6;102;0;AUSENTE;AUSENTE
6703;SP;1;2935660322;0;0;61052000;6108;AUSENTE;2;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6105;610520;6;108;0;AUSENTE;AUSENTE
6704;SP;1;2936311897;0;0;39189000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3918;391890;6;102;0;AUSENTE;AUSENTE
6705;PR;1;2935886638;0;0;21069090;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;102;0;AUSENTE;AUSENTE
6706;SP;1;2936169077;0;0;61012000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6101;610120;6;102;0;AUSENTE;AUSENTE
6707;SP;1;2936169078;0;0;61012000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6101;610120;6;102;0;AUSENTE;AUSENTE
6708;SP;1;2935166065;0;0;33059000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;107;0;AUSENTE;AUSENTE
6709;SP;1;2935166066;0;0;33059000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;107;0;AUSENTE;AUSENTE
6710;SP;1;2935166067;0;0;33059000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;107;0;AUSENTE;AUSENTE
6711;SP;1;2934993088;0;0;33059000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;107;0;AUSENTE;AUSENTE
6712;SP;1;2933694926;0;0;38229000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;38;3822;382290;6;102;0;AUSENTE;AUSENTE
6713;SP;1;2933694927;0;0;90183999;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;90;9018;901839;6;102;0;AUSENTE;AUSENTE
6714;SP;1;2933744844;0;40;15159090;6101;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;15;1515;151590;6;101;0;AUSENTE;AUSENTE
6715;SP;1;2933744845;0;40;15159090;6101;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;15;1515;151590;6;101;0;AUSENTE;AUSENTE
